,hour,day,month,source,destination,cab_type,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
windGustTime,,,,,,,,,,,,,,,,,,,,,,1,0.152081548,0.221459212,0.999252169,0.350869536,0.998967701,0.209156992,0.999162891,0.385989525,0.999033613,0.159032071,0.260031541,0.541768422,0.150431463,0.079547538,0.026154524,0.152081548,0.191088027,0.99935659,0.999356686,0.854637697,0.202031814,0.999362029,0.301200072,0.998323777,0.179908068,0.999302471,0.371712453,0.998957273,0.151855751,0.999174561
visibility,,,,,,,,,,,,,,,,,,,,,,,1,0.290560243,0.153867908,0.263606196,0.152552676,0.28408772,0.155091649,0.196482022,0.151275859,0.348840487,0.579974392,0.227874806,0.401478156,0.47767594,0.119982506,1,0.262794672,0.152464188,0.152450901,0.173673264,0.544535416,0.151715797,0.352681394,0.152037905,0.297029586,0.154258843,0.343778794,0.141783773,0.297609376,0.154882959
temperatureHigh,,,,,,,,,,,,,,,,,,,,,,,,1,0.231464925,0.611616479,0.23164561,0.958722199,0.23221327,0.534807925,0.230010039,0.102683957,0.777748533,0.144937268,0.191956552,0.112348888,0.012337779,0.290560243,0.489315037,0.228856469,0.22888113,0.374938867,0.192592446,0.228424161,0.794579483,0.214435315,0.985996156,0.226152878,0.877508406,0.205926544,0.951036594,0.227133874
temperatureHighTime,,,,,,,,,,,,,,,,,,,,,,,,,1,0.366002697,0.999695285,0.218424959,0.999986351,0.400401304,0.999715813,0.162206494,0.268171404,0.53510763,0.13210492,0.079477853,0.023437713,0.153867908,0.195348287,0.999919845,0.999919558,0.843450152,0.214639558,0.999909418,0.309989454,0.998485534,0.188985268,0.99988463,0.381594837,0.998536679,0.159892437,0.999885479
temperatureLow,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.37921306,0.629284006,0.367041354,0.933930931,0.376981953,0.172219952,0.605793328,0.020437799,0.368949781,0.217782528,0.004368292,0.263606196,0.485325223,0.369489697,0.369502807,0.275532557,0.336032318,0.369039405,0.473053854,0.383571786,0.567521943,0.360346707,0.636256638,0.367621091,0.579368314,0.36201571
temperatureLowTime,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.220789685,0.999684364,0.414897739,0.99996121,0.163739608,0.267772424,0.523877619,0.12954081,0.079376489,0.024349419,0.152552676,0.204162186,0.999821655,0.999822101,0.844058862,0.210219612,0.999804479,0.305336855,0.999146678,0.188526571,0.999522429,0.380563646,0.999023432,0.161583513,0.999525683
apparentTemperatureHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.218693519,0.602182048,0.217673004,0.076925919,0.735059031,0.027497437,0.236953422,0.088166622,0.002275882,0.28408772,0.633244358,0.216148421,0.216185736,0.3462041,0.173360971,0.215812339,0.665029864,0.206879519,0.926408464,0.211707828,0.791979386,0.197784601,0.974275657,0.21226989
apparentTemperatureHighTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.400820623,0.999709632,0.16335165,0.26966161,0.536120027,0.130338276,0.080815001,0.023204206,0.155091649,0.194490809,0.999910153,0.999909696,0.843043283,0.216838061,0.99989487,0.312349465,0.998463991,0.189805644,0.999870206,0.383355262,0.998427585,0.16023059,0.999900761
apparentTemperatureLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.411995742,0.145560141,0.460889282,0.178094696,0.31794583,0.089988186,0.022729534,0.196482022,0.599911413,0.403758866,0.403790514,0.320449673,0.254386,0.403236625,0.284246947,0.416469527,0.492195391,0.395024629,0.479350587,0.404342843,0.558125066,0.396455987
apparentTemperatureLowTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.163604273,0.265532197,0.527730321,0.132426331,0.079394096,0.024608542,0.151275859,0.198799047,0.999843253,0.999843409,0.845016096,0.207734361,0.999830963,0.305204922,0.999053688,0.187815409,0.99961823,0.37895475,0.999082987,0.159613083,0.999631886
icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.209265097,0.192910069,0.255109032,0.216506593,0.127784148,0.348840487,0.008766479,0.16210368,0.162091342,0.135745591,0.228197129,0.161586462,0.191361123,0.162339529,0.097116981,0.162092859,0.167497546,0.158767972,0.067918514,0.163246468
dewPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.309331033,0.359240095,0.501216678,0.003592318,0.579974392,0.424844298,0.266414377,0.266409524,0.31680151,0.505887911,0.265634934,0.797069012,0.26160633,0.751027778,0.26386655,0.845275896,0.245658972,0.704901986,0.264947397
pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.28055182,0.28542152,0.004794129,0.227874806,0.451172051,0.533087877,0.533048676,0.528005573,0.24385322,0.533159865,0.454900633,0.520016664,0.164477298,0.539173045,0.342653448,0.526366129,0.015708537,0.539354888
windBearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.221271066,0.11414519,0.401478156,0.345797985,0.133337934,0.13334876,0.263137907,0.554366703,0.134078402,0.250715653,0.127417189,0.166562126,0.136425588,0.268105861,0.149145581,0.209263107,0.133798386
cloudCover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.067050407,0.47767594,0.042646587,0.080408123,0.080384762,0.093659432,0.395542467,0.080065918,0.284457003,0.087278953,0.114399328,0.080069251,0.249460237,0.077602368,0.090000056,0.080853943
uvIndex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.119982506,0.017362559,0.024078669,0.024080627,0.055754313,0.040910201,0.0241133,0.022317429,0.025067921,0.007191374,0.024557598,0.019396539,0.02685946,0.006108986,0.023678926
visibility.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.262794672,0.152464188,0.152450901,0.173673264,0.544535416,0.151715797,0.352681394,0.152037905,0.297029586,0.154258843,0.343778794,0.141783773,0.297609376,0.154882959
ozone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.194431889,0.194470629,0.230001747,0.222898333,0.193669472,0.183249363,0.199382594,0.443851142,0.18992103,0.364728368,0.188441096,0.591787958,0.189286818
sunriseTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.999999996,0.844716189,0.210841011,0.999997232,0.30793836,0.999000204,0.186060332,0.999792972,0.380445756,0.998971331,0.157158428,0.999793719
sunsetTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.844734506,0.210803199,0.999997292,0.307921051,0.999000844,0.186081357,0.999792171,0.380445653,0.998972247,0.157192171,0.999792857
moonPhase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.055683098,0.844853684,0.401323094,0.841702541,0.372141002,0.845284799,0.445299826,0.84600771,0.344327785,0.844785929
precipIntensityMax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.209518261,0.446422005,0.209991751,0.180394188,0.213661177,0.409563372,0.188269459,0.157554936,0.215982392
uvIndexTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.307318942,0.999015629,0.185573002,0.999779717,0.379903811,0.999010103,0.156747834,0.999775938
temperatureMin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.294846287,0.782981223,0.306819505,0.953827737,0.278686316,0.648345852,0.308906029
temperatureMinTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.168261679,0.998164707,0.372920148,0.99937649,0.143395989,0.998135661
temperatureMax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.185703983,0.838385001,0.162329063,0.956332613,0.186853984
temperatureMaxTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.375938613,0.998467126,0.155807252,0.999958729
apparentTemperatureMin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.355410662,0.741929177,0.377608588
apparentTemperatureMinTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.137784243,0.998345179
apparentTemperatureMax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.156592463
apparentTemperatureMaxTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
